user,avg_daily_device_connections,late_hour_device_use,missing_disconnects,distinct_pcs_used,above_avg_daily_counter,ratio_of_above_avg_days,risk_score_1,emails_sent_per_day,unique_recipients_count,external_emails_ratio,attachment_count_avg,emails_sent_off_hours,bcc_usage_rate,risk_score_2,total_files_copied,active_days,avg_files_copied_per_day,filetype_doc,filetype_exe,filetype_jpg,filetype_pdf,filetype_txt,filetype_zip,after_hours_file_copy_ratio,risk_score_3,avg_urls_per_day,avg_malicious_urls_per_day,total_malicious_urls,avg_distinct_domains_per_day,avg_after_hours_browsing_per_day,risk_score_4,avg_logon_time_hours,avg_logoff_time_hours,logon_std_dev_hours,after_hours_logons,weekend_logons,logons_on_other_user_pcs,risk_score_5,total_risk_score,never_used_device,onboarding_hour,onboarding_month,onboarding_weekday,odd_onboarding,label,avg_daily_device_connections_log,late_hour_device_use_log,missing_disconnects_log,distinct_pcs_used_log,above_avg_daily_counter_log,emails_sent_off_hours_log,total_files_copied_log,active_days_log,avg_files_copied_per_day_log,filetype_doc_log,filetype_exe_log,filetype_jpg_log,filetype_pdf_log,filetype_txt_log,filetype_zip_log,avg_malicious_urls_per_day_log,total_malicious_urls_log,avg_after_hours_browsing_per_day_log,logon_std_dev_hours_log,after_hours_logons_log,weekend_logons_log,logons_on_other_user_pcs_log,after_hours_intensity,file_risk_composite,email_exfil_score,device_anomaly_score,logon_suspicion
AAF0535,2.232258064516129,0.0,4.0,1.0,13.0,0.0838709677419354,0.0,2.962962962962963,189.0,0.3329177057356609,0.7583333333333333,0.0,0.4958333333333333,0.4,357.0,112.0,3.1875,228.0,3.0,23.0,68.0,23.0,12.0,0.0,0.6000000000000001,27.33333333333333,1.1428571428571428,8.0,14.666666666666666,0.0,0.0,8.976829268055555,17.018699186944446,0.1252606305555555,0.0,0.0,0.0,0.0,1.0,0,11,1,1,0,0,1.1731809841656182,0.0,1.6094379124341003,0.6931471805599453,2.6390573296152584,0.0,5.8805329864007,4.727387818712341,1.4321038971511848,5.43372200355424,1.3862943611198906,3.1780538303479458,4.23410650459726,3.1780538303479458,2.5649493574615367,0.7621400520468967,2.1972245773362196,0.0,0.11801468042959944,0.0,0.0,0.0,0.0,33.0,0.7480373141221021,9.0,0.0
AAM0658,1.4,6.0,1.0,1.0,1.0,0.2,0.2,2.9419642857142856,174.0,0.4282982791586998,0.8762774934860683,146.0,0.0,0.6000000000000001,31.0,3.0,10.333333333333334,17.0,0.0,1.0,6.0,6.0,1.0,1.0,0.4,27.0,2.1,21.0,17.333333333333332,7.363636363636363,0.2,9.056462881944444,20.923674187222225,1.116220965,5.0,1.0,0.0,0.6,2.0,0,0,10,3,0,0,0.8754687373538999,1.9459101490553132,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.990432586778736,3.4657359027997265,1.3862943611198906,2.4277482359480516,2.8903717578961645,0.0,0.6931471805599453,1.9459101490553132,1.9459101490553132,0.6931471805599453,1.1314021114911006,3.091042453358316,2.12389330425067,0.7496319343474609,1.791759469228055,0.6931471805599453,0.0,173.0909090909091,12.0,1.1041431514480287,9.0,6.0
ABC0174,2.276595744680851,0.0,8.0,1.0,27.0,0.0957446808510638,0.1,14.418367346938776,682.0,0.4946543121881682,0.2314225053078556,0.0,0.7405048360462373,0.4,589.0,187.0,3.149732620320856,377.0,3.0,24.0,115.0,34.0,36.0,0.0,0.6000000000000001,154.8,12.714285714285714,178.0,43.4,0.0,1.0,9.777576610277778,15.804335585555556,2.4160729875,0.0,83.0,0.0,0.6,2.7,0,14,1,5,0,0,1.1868050007035706,0.0,2.1972245773362196,0.6931471805599453,3.332204510175204,0.0,6.380122536899765,5.236441962829949,1.4230439033286322,5.934894195619588,1.3862943611198906,3.2188758248682006,4.7535901911063645,3.5553480614894135,3.6109179126442243,2.618438042412523,5.187385805840755,0.0,1.2284916420622347,0.0,4.430816798843313,0.0,0.0,81.0,1.650530204954398,17.0,83.0
AHD0848,1.327433628318584,2.0,1.0,1.0,33.0,0.2920353982300885,0.0,1.0162162162162165,142.0,0.3542673107890499,0.7207446808510638,22.0,0.0,0.4,199.0,61.0,3.262295081967213,126.0,2.0,10.0,36.0,14.0,11.0,0.0552763819095477,0.6000000000000001,9.5,1.0,4.0,7.642857142857143,1.1111111111111112,0.2,10.79496390027778,19.01252577972222,2.7207055977777777,6.0,55.0,49.0,1.7999999999999998,3.0,0,16,1,3,0,0,0.8447662134654239,1.0986122886681098,0.6931471805599453,0.6931471805599453,3.5263605246161616,3.1354942159291497,5.298317366548036,4.127134385045092,1.4498077668422165,4.844187086458591,1.0986122886681098,2.3978952727983707,3.6109179126442243,2.70805020110221,2.4849066497880004,0.6931471805599453,1.6094379124341003,0.7472144018302211,1.3139133271206644,1.9459101490553132,4.02535169073515,3.912023005428146,95.77777777777779,28.55276381909548,0.2594768681725204,5.0,159.0
AHM0410,1.5390625,0.0,6.0,1.0,22.0,0.0859375,0.1,8.726495726495726,546.0,0.2980368828078524,0.6304276852758733,0.0,0.5014691478942214,0.6000000000000001,2198.0,255.0,8.619607843137254,1416.0,7.0,107.0,441.0,104.0,123.0,0.0,0.6000000000000001,89.41666666666667,0.0,0.0,19.75,0.0,0.0,10.478365517222224,17.06998605027778,2.881006925,0.0,6.0,105.0,1.2,2.5,0,12,1,0,0,0,0.9317949184101203,0.0,1.9459101490553132,0.6931471805599453,3.1354942159291497,0.0,7.695757990554761,5.545177444479562,2.2638034991000633,7.256297239690681,2.0794415416798357,4.68213122712422,6.091309882077698,4.653960350157523,4.820281565605037,0.0,0.0,0.0,1.3560946367191118,0.0,1.9459101490553132,4.663439094112067,0.0,267.0,1.6396274094073018,13.0,216.0
AIB0948,8.641618497109826,0.0,17.0,1.0,3.0,0.0086705202312138,0.1,1.0,146.0,0.4365942028985507,0.2012195121951219,0.0,0.5152439024390244,0.4,1669.0,314.0,5.3152866242038215,1065.0,8.0,82.0,346.0,81.0,87.0,0.0,0.6000000000000001,9.583333333333334,1.0,5.0,8.333333333333334,0.0,0.0,9.30201716888889,14.606855030833334,2.502623353333333,0.0,0.0,120.0,0.8999999999999999,2.0,0,7,1,0,0,0,2.266088988420913,0.0,2.8903717578961645,0.6931471805599453,1.3862943611198906,0.0,7.4205789054108005,5.752572638825633,1.8429731426115425,6.97166860472579,2.1972245773362196,4.418840607796598,5.849324779946859,4.406719247264253,4.477336814478207,0.6931471805599453,1.791759469228055,0.0,1.2535122172622055,0.0,0.0,4.795790545596741,0.0,198.0,0.08785127253446445,35.0,240.0
AIP0982,1.525,0.0,3.0,1.0,25.0,0.1041666666666666,0.0,9.674418604651162,554.0,0.3692697952527631,0.5600961538461539,0.0,0.4891826923076923,0.4,6182.0,240.0,25.064561659848042,3960.0,42.0,329.0,1223.0,327.0,301.0,0.0,0.8,94.16666666666669,7.416666666666667,89.0,20.916666666666668,0.0,0.8,9.834571540833332,17.488605005833335,2.455221303333333,0.0,0.0,18.0,0.8999999999999999,2.9,0,16,1,2,0,0,0.9262410627273231,0.0,1.3862943611198906,0.6931471805599453,3.258096538021482,0.0,8.729558869558568,5.484796933490655,3.2605766008850288,8.284251797621916,3.7612001156935624,5.799092654460526,7.1098794630722715,5.793013608384144,5.71042701737487,2.1302138670532593,4.499809670330265,0.0,1.2398865082315167,0.0,0.0,2.9444389791664403,0.0,728.0,2.0009270300905535,7.0,36.0
AJD0074,1.271186440677966,0.0,6.0,1.0,26.0,0.2203389830508474,0.1,9.795336787564766,595.0,0.4578059071729958,0.5670457550912457,0.0,0.5083311293308649,0.6000000000000001,515.0,106.0,4.858490566037736,345.0,2.0,29.0,94.0,30.0,15.0,0.0,0.6000000000000001,108.92857142857144,1.0,4.0,35.285714285714285,0.0,0.0,9.183441111111112,15.384676745277776,2.5638650380555554,0.0,74.0,65.0,1.2,2.5,0,14,1,1,0,0,0.8203023560451919,0.0,1.9459101490553132,0.6931471805599453,3.295836866004329,0.0,6.246106765481563,4.672828834461906,1.7678919878214117,5.846438775057725,1.0986122886681098,3.4011973816621555,4.553876891600541,3.4339872044851463,2.772588722239781,0.6931471805599453,1.6094379124341003,0.0,1.2708456407814344,0.0,4.31748811353631,4.189654742026425,0.0,36.0,2.542839028442754,13.0,204.0
AJF0370,8.641647398843931,365.28999999999974,17.0,4.889999999997372,104.0,0.2788203753351206,0.5,10.528150134048255,634.0,0.5124786854751201,0.5632798573975044,0.0,0.0,0.6000000000000001,8468.56,346.2199999999998,25.064561659848042,5385.669999999999,57.00999999999999,429.01,1703.01,435.04999999999995,422.03999999999996,0.1782321541662897,1.0,110.14285714285714,3.5,42.0,39.92857142857143,0.0,0.4,11.573703417486112,13.601660514444443,6.7453001666666665,741.04,77.0,1048.03,1.7999999999999998,4.3,0,6,1,0,1,1,2.266091986018339,5.9034253693848155,2.8903717578961645,1.773255997663049,4.653960350157523,0.0,9.044233838244805,5.849958584813802,3.2605766008850288,8.591682662218666,4.060615409477973,6.063808464231149,7.440739575916642,6.077756915672994,6.047466737223266,1.5040773967762742,3.7612001156935624,0.0,2.0470862293046177,6.609403150070173,4.356708826689592,6.955621206652759,741.04,1016.8923215416628,3.039149737991864,404.1799999999971,2914.1
AJH0175,1.3032786885245902,0.0,1.0,1.0,32.0,0.2622950819672131,0.0,14.465116279069768,756.0,0.4430023264356557,0.2094051446945337,0.0,0.0,0.2,236.0,72.0,3.2777777777777777,148.0,3.0,8.0,45.0,21.0,11.0,0.0,0.6000000000000001,145.33333333333334,10.5,126.0,38.66666666666666,11.0,1.2000000000000002,8.727891632222223,14.358037036944443,3.9541904772222223,49.0,0.0,0.0,0.8999999999999999,2.9,0,9,1,2,0,0,0.8343336246004892,0.0,0.6931471805599453,0.6931471805599453,3.4965075614664802,0.0,5.4680601411351315,4.290459441148391,1.4534336639575192,5.003946305945459,1.3862943611198906,2.1972245773362196,3.828641396489095,3.091042453358316,2.4849066497880004,2.4423470353692043,4.844187086458591,2.4849066497880004,1.6002337795048889,3.912023005428146,0.0,0.0,841.0,31.0,1.3418849539126543,3.0,49.0
