user,email_count,recipient_count,external_count,late_night_count,weekend_count,external_ratio,late_night_ratio,weekend_ratio,email_spike,login_count,late_logins,weekend_logins,after_hours_logins,failed_logins,late_login_ratio,weekend_login_ratio,after_hours_ratio,login_spike,file_access_count,file_copy_count,sensitive_file_access,after_hours_file_access,weekend_file_access,copy_ratio,sensitive_ratio,after_hours_file_ratio,file_spike,device_activity_count,usb_insertions,unknown_device_count,after_hours_device_usage,weekend_device_usage,usb_ratio,unknown_device_ratio,after_hours_device_ratio,device_spike,label
EMP001,45,38,2,1,0,0.04,0.02,0.00,0,30,1,0,1,0,0.03,0.00,0.03,0,25,3,1,0,0,0.12,0.04,0.00,0,15,1,0,0,0,0.07,0.00,0.00,0,0
EMP002,52,41,3,2,0,0.06,0.04,0.00,0,28,1,0,2,0,0.04,0.00,0.07,0,22,2,0,1,0,0.09,0.00,0.04,0,12,0,0,1,0,0.00,0.00,0.08,0,0
EMP003,190,160,75,60,15,0.39,0.31,0.08,1,120,40,12,50,10,0.33,0.10,0.42,1,180,95,55,60,20,0.53,0.31,0.33,1,90,40,25,35,10,0.44,0.28,0.39,1,1
EMP004,48,35,2,0,0,0.04,0.00,0.00,0,32,0,0,1,0,0.00,0.00,0.03,0,30,4,1,0,0,0.13,0.03,0.00,0,18,1,0,0,0,0.06,0.00,0.00,0,0
EMP005,55,45,4,2,1,0.07,0.04,0.02,0,35,2,1,2,0,0.06,0.03,0.06,0,28,5,1,1,1,0.18,0.04,0.04,0,20,1,1,1,1,0.05,0.05,0.05,0,0
EMP006,210,170,90,70,20,0.43,0.33,0.10,1,135,50,20,65,12,0.37,0.15,0.48,1,220,120,70,80,25,0.55,0.32,0.36,1,110,55,30,45,15,0.50,0.27,0.41,1,1
EMP007,50,39,3,1,0,0.06,0.02,0.00,0,29,1,0,1,0,0.03,0.00,0.03,0,24,2,0,0,0,0.08,0.00,0.00,0,13,0,0,0,0,0.00,0.00,0.00,0,0
EMP008,175,150,65,55,18,0.37,0.31,0.10,1,115,38,15,55,8,0.33,0.13,0.48,1,165,90,48,65,18,0.54,0.29,0.39,1,85,35,20,30,10,0.41,0.24,0.35,1,1
EMP009,42,31,1,0,0,0.02,0.00,0.00,0,25,0,0,1,0,0.00,0.00,0.04,0,20,1,0,0,0,0.05,0.00,0.00,0,10,0,0,0,0,0.00,0.00,0.00,0,0
EMP010,195,165,80,62,17,0.41,0.32,0.09,1,125,42,14,60,9,0.34,0.11,0.48,1,190,105,60,70,22,0.55,0.32,0.37,1,95,45,28,38,12,0.47,0.29,0.40,1,1

