user,avg_daily_device_connections,above_avg_daily_counter,ratio_of_above_avg_days,risk_score_1,emails_sent_per_day,unique_recipients_count,external_emails_ratio,attachment_count_avg,emails_sent_off_hours,risk_score_2,active_days,avg_files_copied_per_day,filetype_doc,filetype_exe,filetype_jpg,filetype_pdf,filetype_txt,filetype_zip,after_hours_file_copy_ratio,risk_score_3,avg_urls_per_day,avg_malicious_urls_per_day,total_malicious_urls,avg_distinct_domains_per_day,avg_after_hours_browsing_per_day,risk_score_4,avg_logon_time_hours,avg_logoff_time_hours,logon_std_dev_hours,after_hours_logons,weekend_logons,logons_on_other_user_pcs,risk_score_5,total_risk_score,never_used_device,onboarding_hour,onboarding_month,onboarding_weekday,odd_onboarding,label,avg_daily_device_connections_log,late_hour_device_use_log,missing_disconnects_log,distinct_pcs_used_log,above_avg_daily_counter_log,emails_sent_off_hours_log,total_files_copied_log,active_days_log,avg_files_copied_per_day_log,filetype_doc_log,filetype_exe_log,filetype_jpg_log,filetype_pdf_log,filetype_txt_log,filetype_zip_log,avg_malicious_urls_per_day_log,total_malicious_urls_log,avg_after_hours_browsing_per_day_log,logon_std_dev_hours_log,after_hours_logons_log,weekend_logons_log,logons_on_other_user_pcs_log,after_hours_intensity,file_risk_composite,email_exfil_score,device_anomaly_score,logon_suspicion,ext_email_ratio,ext_email_ratio_zscore,off_hours_email_count,off_hours_email_ratio,bcc_abuse_flag,bcc_usage_rate,attachment_density,high_attachment_flag,unique_recipient_count,recipient_spread_zscore,email_exfil_composite,total_files_copied,avg_files_per_day,files_copy_volume_zscore,after_hours_file_ratio,after_hours_file_spike,exe_file_ratio,zip_file_ratio,risky_filetype_score,sensitive_doc_ratio,file_staging_composite,after_hours_logon_count,after_hours_logon_zscore,weekend_logon_count,weekend_logon_flag,other_pc_logon_count,other_pc_logon_flag,logon_time_std,logon_erratic_flag,late_hour_device_use,off_hours_intensity,temporal_anomaly_composite,malicious_url_avg,malicious_url_total,malicious_url_flag,malicious_url_zscore,distinct_domain_avg,domain_spread_zscore,after_hours_browsing_avg,after_hours_browse_flag,network_anomaly_composite,distinct_pcs_used,multi_pc_flag,missing_disconnects,missing_disc_zscore,never_used_device_flag,avg_device_connections,device_conn_zscore,device_anomaly_composite,email_file_exfil_chain,dual_off_hours_signal,network_file_chain,lateral_movement_score,exfil_chain_score
AAF0535,2.232258065,13.0,0.083870968,0.0,2.962962963,189.0,0.332917706,0.758333333,0.0,0.4,112.0,3.1875,228.0,3.0,23.0,68.0,23.0,12.0,0.0,0.6,27.33333333,1.142857143,8.0,14.66666667,0.0,0.0,8.976829268,17.01869919,0.125260631,0.0,0.0,0.0,0.0,1.0,0,11,1,1,0,0,1.173180984,0.0,1.609437912,0.693147181,2.63905733,0.0,5.880532986,4.727387819,1.432103897,5.433722004,1.386294361,3.17805383,4.234106505,3.17805383,2.564949357,0.762140052,2.197224577,0.0,0.11801468,0.0,0.0,0.0,0.0,33.0,0.748037314,9.0,0.0,0.332917706,-0.9052125008422877,0.0,0.0,0,0.495833333,0.758333333,0,189.0,-0.8713007570543703,0.016534481526650557,357.0,3.1875,34.82926829268286,0.0,0,0.008379888268156424,0.0335195530726257,9.720670391061452,0.8268156424581006,0.9911728426642716,0.0,0.0,0.0,0,0.0,0,0.125260631,0,0.0,0.0,0.0,1.142857143,8.0,1,-0.27650273223436705,14.66666667,-0.7285073839399808,0.0,0,-0.27008623919044894,1.0,0,4,1.2184697757767342,0,2.232258065,1.8510680849087928,-0.16882975631080457,0.013337639655837988,0.0,0.04189944134078212,0.0,-0.1789917087742396
AAM0658,1.4,1.0,0.2,0.2,2.941964286,174.0,0.428298279,0.876277493,146.0,0.6,3.0,10.33333333,17.0,0.0,1.0,6.0,6.0,1.0,1.0,0.4,27.0,2.1,21.0,17.33333333,7.363636364,0.2,9.056462882,20.92367419,1.116220965,5.0,1.0,0.0,0.6,2.0,0,0,10,3,0,0,0.875468737,1.945910149,0.693147181,0.693147181,0.693147181,4.990432587,3.465735903,1.386294361,2.427748236,2.890371758,0.0,0.693147181,1.945910149,1.945910149,0.693147181,1.131402111,3.091042453,2.123893304,0.749631934,1.791759469,0.693147181,0.0,173.0909091,12.0,1.104143151,9.0,6.0,0.428298279,0.0648317850542856,146.0,14.858700589344448,0,0.0,0.876277493,1,174.0,-0.9125946317962835,1.8104206434918182,31.0,10.33333333,3.0243902439024364,1.0,1,0.0,0.03125,7.25,0.71875,3.0629350811667075,5.0,0.04084652039221778,1.0,1,0.0,0,1.116220965,0,6.0,173.0909091,1.2000000000000002,2.1,21.0,1,-0.0617122040130862,17.33333333,-0.5850474686743318,7.363636364,1,0.7299137608095511,1.0,0,1,0.30461744394418355,0,1.4,1.160929983636238,-0.23318742153370883,0.1493671397748034,4.457610176803335,0.03125,0.0,1.7516994478222923
ABC0174,2.276595745,27.0,0.095744681,0.1,14.41836735,682.0,0.494654312,0.231422505,0.0,0.4,187.0,3.14973262,377.0,3.0,24.0,115.0,34.0,36.0,0.0,0.6,154.8,12.71428571,178.0,43.4,0.0,1.0,9.77757661,15.80433559,2.416072988,0.0,83.0,0.0,0.6,2.7,0,14,1,5,0,0,1.186805001,0.0,2.197224577,0.693147181,3.33220451,0.0,6.380122537,5.236441963,1.423043903,5.934894196,1.386294361,3.218875825,4.753590191,3.555348061,3.610917913,2.618438042,5.187385806,0.0,1.228491642,0.0,4.430816799,0.0,0.0,81.0,1.650530205,17.0,83.0,0.494654312,0.739689238955453,0.0,0.0,1,0.740504836,0.231422505,0,682.0,0.48589125946317957,0.989925286934222,589.0,3.14973262,57.46341463414625,0.0,0,0.005084745762711864,0.061016949152542375,15.335593220338984,0.8338983050847458,1.0934109505483216,0.0,0.0,83.0,1,0.0,0,2.416072988,0,0.0,0.0,0.8,12.71428571,178.0,1,2.3202185784912985,43.4,0.8172732067325157,0.0,0,1.4119322945339121,1.0,0,8,2.4369395515534684,0,2.276595745,1.8878344721351277,-0.10668390065254763,0.03566264982987928,0.0,0.06610169491525424,0.0,0.9384789673426615
AHD0848,1.327433628,33.0,0.292035398,0.0,1.016216216,142.0,0.354267311,0.720744681,22.0,0.4,61.0,3.262295082,126.0,2.0,10.0,36.0,14.0,11.0,0.055276382,0.6,9.5,1.0,4.0,7.642857143,1.111111111,0.2,10.7949639,19.01252578,2.720705598,6.0,55.0,49.0,1.8,3.0,0,16,1,3,0,0,0.844766213,1.098612289,0.693147181,0.693147181,3.526360525,3.135494216,5.298317367,4.127134385,1.449807767,4.844187086,1.098612289,2.397895273,3.610917913,2.708050201,2.48490665,0.693147181,1.609437912,0.747214402,1.313913327,1.945910149,4.025351691,3.912023005,95.77777778,28.55276382,0.259476868,5.0,159.0,0.354267311,-0.6880816776043218,22.0,0.34926628343364025,0,0.0,0.720744681,0,142.0,-1.0006882312456986,-0.06515909059438482,199.0,3.262295082,19.41463414634143,0.055276382,1,0.01,0.055,15.08,0.81,1.1373514545733425,6.0,0.04901582447066133,55.0,1,49.0,1,2.720705598,0,2.0,95.77777778,2.2,1.0,4.0,1,-0.3085610200654312,7.642857143,-1.1063705547291935,1.111111111,1,0.7299137608095511,1.0,0,1,0.30461744394418355,0,1.327433628,1.10075535716588,-0.23518803881830344,0.013475820873455847,0.19209645588850216,0.065,0.0,0.9159473522933148
AHM0410,1.5390625,22.0,0.0859375,0.1,8.726495726,546.0,0.298036883,0.630427685,0.0,0.6,255.0,8.619607843,1416.0,7.0,107.0,441.0,104.0,123.0,0.0,0.6,89.41666667,0.0,0.0,19.75,0.0,0.0,10.47836552,17.06998605,2.881006925,0.0,6.0,105.0,1.2,2.5,0,12,1,0,0,0,0.931794918,0.0,1.945910149,0.693147181,3.135494216,0.0,7.695757991,5.545177444,2.263803499,7.25629724,2.079441542,4.682131227,6.091309882,4.65396035,4.820281566,0.0,0.0,0.0,1.356094637,0.0,1.945910149,4.663439094,0.0,267.0,1.639627409,13.0,216.0,0.298036883,-1.2599591958377114,0.0,0.0,1,0.501469148,0.630427685,0,546.0,0.11149346180316586,0.07592536586827447,2198.0,8.619607843,214.43902439024353,0.0,0,0.0031832651205093224,0.05593451568894952,13.715325147794452,0.844474761255116,1.6069570518466343,0.0,0.0,6.0,1,105.0,1,2.881006925,1,0.0,0.0,2.4,0.0,0.0,0,-0.532969034658472,19.75,-0.45503691996048584,0.0,0,-1.6034195725237825,1.0,0,6,1.827704663665101,0,1.5390625,1.2762455735286766,-0.1574790545484104,0.023502437901090623,0.0,0.0,0.0,0.8070385547126722
AIB0948,8.641618497,3.0,0.00867052,0.1,1.0,146.0,0.436594203,0.201219512,0.0,0.4,314.0,5.315286624,1065.0,8.0,82.0,346.0,81.0,87.0,0.0,0.6,9.583333333,1.0,5.0,8.333333333,0.0,0.0,9.302017169,14.60685503,2.502623353,0.0,0.0,120.0,0.9,2.0,0,7,1,0,0,0,2.266088988,0.0,2.890371758,0.693147181,1.386294361,0.0,7.420578905,5.752572639,1.842973143,6.971668605,2.197224577,4.418840608,5.84932478,4.406719247,4.477336814,0.693147181,1.791759469,0.0,1.253512217,0.0,0.0,4.795790546,0.0,198.0,0.087851273,35.0,240.0,0.436594203,0.14920340727584902,0.0,0.0,1,0.515243902,0.201219512,0,146.0,-0.9896765313145218,0.16322405979841634,1669.0,5.315286624,162.82926829268266,0.0,0,0.004790419161676647,0.052095808383233536,13.197604790419163,0.8449101796407186,1.4340991082329324,0.0,0.0,0.0,0,120.0,1,2.502623353,0,0.0,0.0,1.0,1.0,5.0,1,-0.3085610200654312,8.333333333,-1.0692246837449484,0.0,0,-0.27008623919044894,1.0,0,17,5.178496547051119,0,8.641618497,7.165938585937728,0.20587432913208864,0.023438566088692415,0.0,0.056886227544910184,0.0,0.7577435515442765
AIP0982,1.525,25.0,0.104166667,0.0,9.674418605,554.0,0.369269795,0.560096154,0.0,0.4,240.0,25.06456166,3960.0,42.0,329.0,1223.0,327.0,301.0,0.0,0.8,94.16666667,7.416666667,89.0,20.91666667,0.0,0.8,9.834571541,17.48860501,2.455221303,0.0,0.0,18.0,0.9,2.9,0,16,1,2,0,0,0.926241063,0.0,1.386294361,0.693147181,3.258096538,0.0,8.72955887,5.484796933,3.260576601,8.284251798,3.761200116,5.799092654,7.109879463,5.793013608,5.710427017,2.130213867,4.49980967,0.0,1.239886508,0.0,0.0,2.944438979,0.0,728.0,2.00092703,7.0,36.0,0.369269795,-0.5355026626045398,0.0,0.0,0,0.489182692,0.560096154,0,554.0,0.1335168616655196,0.06355669966250126,6182.0,25.06456166,603.1219512195112,0.0,0,0.006792819019893256,0.048681869642568334,12.87012776969109,0.8382662138120653,2.867869890282766,0.0,0.0,0.0,0,18.0,1,2.455221303,0,0.0,0.0,1.0,7.416666667,89.0,1,1.1313904069813838,20.91666667,-0.39227320669553,0.0,0,0.18011913468587384,1.0,0,3,0.9138523318325507,0,1.525,1.2645844464609017,-0.20355936698026283,0.04124562987377293,0.0,0.055474688662461594,0.0,0.8737858667322346
AJD0074,1.271186441,26.0,0.220338983,0.1,9.795336788,595.0,0.457805907,0.567045755,0.0,0.6,106.0,4.858490566,345.0,2.0,29.0,94.0,30.0,15.0,0.0,0.6,108.9285714,1.0,4.0,35.28571429,0.0,0.0,9.183441111,15.38467675,2.563865038,0.0,74.0,65.0,1.2,2.5,0,14,1,1,0,0,0.820302356,0.0,1.945910149,0.693147181,3.295836866,0.0,6.246106765,4.672828834,1.767891988,5.846438775,1.098612289,3.401197382,4.553876892,3.433987204,2.772588722,0.693147181,1.609437912,0.0,1.270845641,0.0,4.317488114,4.189654742,0.0,36.0,2.542839028,13.0,204.0,0.457805907,0.3649317428492732,0.0,0.0,1,0.508331129,0.567045755,0,595.0,0.2463867859600826,0.374619722042056,515.0,4.858490566,50.2439024390243,0.0,0,0.003875968992248062,0.029069767441860465,7.643410852713179,0.8507751937984496,1.0273088460191293,0.0,0.0,74.0,1,65.0,1,2.563865038,0,0.0,0.0,1.8,1.0,4.0,1,-0.3085610200654312,35.28571429,0.3807451779919953,0.0,0,0.008182016069123723,1.0,0,6,1.827704663665101,0,1.271186441,1.0541131815348126,-0.16486425872762012,0.021064679945494685,0.0,0.03294573643410853,0.0,0.7972035204832393
AJF0370,8.641647399,104.0,0.278820375,0.5,10.52815013,634.0,0.512478685,0.563279857,0.0,0.6,346.22,25.06456166,5385.67,57.01,429.01,1703.01,435.05,422.04,0.178232154,1.0,110.1428571,3.5,42.0,39.92857143,0.0,0.4,11.57370342,13.60166051,6.745300167,741.04,77.0,1048.03,1.8,4.3,0,6,1,0,1,1,2.266091986,5.903425369,2.890371758,1.773255998,4.65396035,0.0,9.044233838,5.849958585,3.260576601,8.591682662,4.060615409,6.063808464,7.440739576,6.077756916,6.047466737,1.504077397,3.761200116,0.0,2.047086229,6.60940315,4.356708827,6.955621207,741.04,1016.892322,3.039149738,404.18,2914.1,0.512478685,0.920967570952255,0.0,0.0,0,0.0,0.563279857,0,634.0,0.35375086028905717,0.06023912116613467,8468.56,25.06456166,826.2009756097547,0.178232154,1,0.006731164310778836,0.04983021550115945,13.122240116369683,0.8369596531578973,3.6342821066264688,741.04,6.053781094289812,77.0,1,1048.03,1,6.745300167,1,365.29,741.04,4.0,3.5,42.0,1,0.252459016417171,39.92857143,0.6305191380770229,0.0,0,0.14210667224487517,4.89,1,17,5.178496547051119,0,8.641647399,7.165962552508004,0.4558751259452566,0.052030828527042314,0.0,0.05656137981193829,1.0,2.9467199104201107
AJH0175,1.303278689,32.0,0.262295082,0.0,14.46511628,756.0,0.443002326,0.209405145,0.0,0.2,72.0,3.277777778,148.0,3.0,8.0,45.0,21.0,11.0,0.0,0.6,145.3333333,10.5,126.0,38.66666667,11.0,1.2,8.727891632,14.35803704,3.954190477,49.0,0.0,0.0,0.9,2.9,0,9,1,2,0,0,0.834333625,0.0,0.693147181,0.693147181,3.496507561,0.0,5.468060141,4.290459441,1.453433664,5.003946306,1.386294361,2.197224577,3.828641396,3.091042453,2.48490665,2.442347035,4.844187086,2.48490665,1.60023378,3.912023005,0.0,0.0,841.0,31.0,1.341884954,3.0,49.0,0.443002326,0.21437562111306713,0.0,0.0,0,0.0,0.209405145,0,756.0,0.6896077081899517,-0.3328696768116316,236.0,3.277777778,23.0243902439024,0.0,0,0.012658227848101266,0.046413502109704644,13.70464135021097,0.8143459915611815,1.0090262962099898,49.0,0.4002958998437342,0.0,0,0.0,0,3.954190477,1,0.0,841.0,0.6421606673234925,10.5,126.0,1,1.823315118568457,38.66666667,0.5626318566787099,11.0,1,1.9746689231973924,1.0,0,1,0.30461744394418355,0,1.303278689,1.0807252193530197,-0.23585397797358776,0.006638379783817981,0.0,0.05907172995780591,0.0,0.34851217786831906
