user,avg_daily_device_connections,late_hour_device_use,missing_disconnects,distinct_pcs_used,above_avg_daily_counter,ratio_of_above_avg_days,risk_score_1,emails_sent_per_day,unique_recipients_count,external_emails_ratio,attachment_count_avg,emails_sent_off_hours,bcc_usage_rate,risk_score_2,total_files_copied,active_days,avg_files_copied_per_day,filetype_doc,filetype_exe,filetype_jpg,filetype_pdf,filetype_txt,filetype_zip,after_hours_file_copy_ratio,risk_score_3,avg_urls_per_day,avg_malicious_urls_per_day,total_malicious_urls,avg_distinct_domains_per_day,avg_after_hours_browsing_per_day,risk_score_4,avg_logon_time_hours,avg_logoff_time_hours,logon_std_dev_hours,after_hours_logons,weekend_logons,logons_on_other_user_pcs,risk_score_5,total_risk_score,never_used_device,onboarding_hour,onboarding_month,onboarding_weekday,odd_onboarding,label,avg_daily_device_connections_log,late_hour_device_use_log,missing_disconnects_log,distinct_pcs_used_log,above_avg_daily_counter_log,emails_sent_off_hours_log,total_files_copied_log,active_days_log,avg_files_copied_per_day_log,filetype_doc_log,filetype_exe_log,filetype_jpg_log,filetype_pdf_log,filetype_txt_log,filetype_zip_log,avg_malicious_urls_per_day_log,total_malicious_urls_log,avg_after_hours_browsing_per_day_log,logon_std_dev_hours_log,after_hours_logons_log,weekend_logons_log,logons_on_other_user_pcs_log,after_hours_intensity,file_risk_composite,email_exfil_score,device_anomaly_score,logon_suspicion
AAF0535,2.232258065,0,4,1,13,0.083870968,0,2.962962963,189,0.332917706,0.758333333,0,0.495833333,0.4,357,112,3.1875,228,3,23,68,23,12,0,0.6,27.33333333,1.142857143,8,14.66666667,0,0,8.976829268,17.01869919,0.125260631,0,0,0,0,1,0,11,1,1,0,0,1.173180984,0,1.609437912,0.693147181,2.63905733,0,5.880532986,4.727387819,1.432103897,5.433722004,1.386294361,3.17805383,4.234106505,3.17805383,2.564949357,0.762140052,2.197224577,0,0.11801468,0,0,0,0,33,0.748037314,9,0
AAM0658,1.4,6,1,1,1,0.2,0.2,2.941964286,174,0.428298279,0.876277493,146,0,0.6,31,3,10.33333333,17,0,1,6,6,1,1,0.4,27,2.1,21,17.33333333,7.363636364,0.2,9.056462882,20.92367419,1.116220965,5,1,0,0.6,2,0,0,10,3,0,0,0.875468737,1.945910149,0.693147181,0.693147181,0.693147181,4.990432587,3.465735903,1.386294361,2.427748236,2.890371758,0,0.693147181,1.945910149,1.945910149,0.693147181,1.131402111,3.091042453,2.123893304,0.749631934,1.791759469,0.693147181,0,173.0909091,12,1.104143151,9,6
ABC0174,2.276595745,0,8,1,27,0.095744681,0.1,14.41836735,682,0.494654312,0.231422505,0,0.740504836,0.4,589,187,3.14973262,377,3,24,115,34,36,0,0.6,154.8,12.71428571,178,43.4,0,1,9.77757661,15.80433559,2.416072988,0,83,0,0.6,2.7,0,14,1,5,0,0,1.186805001,0,2.197224577,0.693147181,3.33220451,0,6.380122537,5.236441963,1.423043903,5.934894196,1.386294361,3.218875825,4.753590191,3.555348061,3.610917913,2.618438042,5.187385806,0,1.228491642,0,4.430816799,0,0,81,1.650530205,17,83
AHD0848,1.327433628,2,1,1,33,0.292035398,0,1.016216216,142,0.354267311,0.720744681,22,0,0.4,199,61,3.262295082,126,2,10,36,14,11,0.055276382,0.6,9.5,1,4,7.642857143,1.111111111,0.2,10.7949639,19.01252578,2.720705598,6,55,49,1.8,3,0,16,1,3,0,0,0.844766213,1.098612289,0.693147181,0.693147181,3.526360525,3.135494216,5.298317367,4.127134385,1.449807767,4.844187086,1.098612289,2.397895273,3.610917913,2.708050201,2.48490665,0.693147181,1.609437912,0.747214402,1.313913327,1.945910149,4.025351691,3.912023005,95.77777778,28.55276382,0.259476868,5,159
AHM0410,1.5390625,0,6,1,22,0.0859375,0.1,8.726495726,546,0.298036883,0.630427685,0,0.501469148,0.6,2198,255,8.619607843,1416,7,107,441,104,123,0,0.6,89.41666667,0,0,19.75,0,0,10.47836552,17.06998605,2.881006925,0,6,105,1.2,2.5,0,12,1,0,0,0,0.931794918,0,1.945910149,0.693147181,3.135494216,0,7.695757991,5.545177444,2.263803499,7.25629724,2.079441542,4.682131227,6.091309882,4.65396035,4.820281566,0,0,0,1.356094637,0,1.945910149,4.663439094,0,267,1.639627409,13,216
AIB0948,8.641618497,0,17,1,3,0.00867052,0.1,1,146,0.436594203,0.201219512,0,0.515243902,0.4,1669,314,5.315286624,1065,8,82,346,81,87,0,0.6,9.583333333,1,5,8.333333333,0,0,9.302017169,14.60685503,2.502623353,0,0,120,0.9,2,0,7,1,0,0,0,2.266088988,0,2.890371758,0.693147181,1.386294361,0,7.420578905,5.752572639,1.842973143,6.971668605,2.197224577,4.418840608,5.84932478,4.406719247,4.477336814,0.693147181,1.791759469,0,1.253512217,0,0,4.795790546,0,198,0.087851273,35,240
AIP0982,1.525,0,3,1,25,0.104166667,0,9.674418605,554,0.369269795,0.560096154,0,0.489182692,0.4,6182,240,25.06456166,3960,42,329,1223,327,301,0,0.8,94.16666667,7.416666667,89,20.91666667,0,0.8,9.834571541,17.48860501,2.455221303,0,0,18,0.9,2.9,0,16,1,2,0,0,0.926241063,0,1.386294361,0.693147181,3.258096538,0,8.72955887,5.484796933,3.260576601,8.284251798,3.761200116,5.799092654,7.109879463,5.793013608,5.710427017,2.130213867,4.49980967,0,1.239886508,0,0,2.944438979,0,728,2.00092703,7,36
AJD0074,1.271186441,0,6,1,26,0.220338983,0.1,9.795336788,595,0.457805907,0.567045755,0,0.508331129,0.6,515,106,4.858490566,345,2,29,94,30,15,0,0.6,108.9285714,1,4,35.28571429,0,0,9.183441111,15.38467675,2.563865038,0,74,65,1.2,2.5,0,14,1,1,0,0,0.820302356,0,1.945910149,0.693147181,3.295836866,0,6.246106765,4.672828834,1.767891988,5.846438775,1.098612289,3.401197382,4.553876892,3.433987204,2.772588722,0.693147181,1.609437912,0,1.270845641,0,4.317488114,4.189654742,0,36,2.542839028,13,204
AJF0370,8.641647399,365.29,17,4.89,104,0.278820375,0.5,10.52815013,634,0.512478685,0.563279857,0,0,0.6,8468.56,346.22,25.06456166,5385.67,57.01,429.01,1703.01,435.05,422.04,0.178232154,1,110.1428571,3.5,42,39.92857143,0,0.4,11.57370342,13.60166051,6.745300167,741.04,77,1048.03,1.8,4.3,0,6,1,0,1,1,2.266091986,5.903425369,2.890371758,1.773255998,4.65396035,0,9.044233838,5.849958585,3.260576601,8.591682662,4.060615409,6.063808464,7.440739576,6.077756916,6.047466737,1.504077397,3.761200116,0,2.047086229,6.60940315,4.356708827,6.955621207,741.04,1016.892322,3.039149738,404.18,2914.1
AJH0175,1.303278689,0,1,1,32,0.262295082,0,14.46511628,756,0.443002326,0.209405145,0,0,0.2,236,72,3.277777778,148,3,8,45,21,11,0,0.6,145.3333333,10.5,126,38.66666667,11,1.2,8.727891632,14.35803704,3.954190477,49,0,0,0.9,2.9,0,9,1,2,0,0,0.834333625,0,0.693147181,0.693147181,3.496507561,0,5.468060141,4.290459441,1.453433664,5.003946306,1.386294361,2.197224577,3.828641396,3.091042453,2.48490665,2.442347035,4.844187086,2.48490665,1.60023378,3.912023005,0,0,841,31,1.341884954,3,49
AJN0607,3.002906977,0,5,1,100,0.290697674,0,14.55652174,812,0.456355469,0.740143369,0,0,0.4,820,233,3.519313305,521,12,41,164,38,44,0,0.6,152.4166667,12.18181818,134,37.41666667,0,1,10.33698759,15.98632432,2.597461272,0,0,110,0.9,2.9,0,8,1,0,0,0,1.387020841,0,1.791759469,0.693147181,4.615120517,0,6.710523109,5.455321115,1.508360059,6.257667588,2.564949357,3.737669618,5.105945474,3.663561646,3.80666249,2.57883847,4.905274778,0,1.280228395,0,0,4.709530201,0,124,4.916734142,11,220
AJR0932,6.333333333,18,0,1,0,0,0.2,8.809278351,304,0.378123868,0,0,0,0.2,47,2,23.5,34,0,2,9,1,1,0.829787234,0.6,87.66666667,2.571428571,18,34.41666667,0,0,7.316228364,16.11690955,1.504591471,4,0,0,0.6,1.6,0,4,9,4,1,0,1.992430165,2.944438979,0,0.693147181,0,0,3.871201011,1.098612289,3.198673118,3.555348061,0,1.098612289,2.302585093,0.693147181,0.693147181,1.272965676,2.944438979,0,0.918125636,1.609437912,0,0,4,10.29787234,0,19,4
AKR0057,2.239631336,0,6,1,19,0.087557604,0.1,10.69130435,425,0.394625529,0.181374542,19,0.504676698,0.4,540,153,3.529411765,357,4,27,95,21,36,0,0.6,109.0833333,8,80,27.91666667,1,0.8,10.10263789,18.90576589,2.641183101,0,0,12,0.9,2.8,0,11,1,0,0,0,1.175459538,0,1.945910149,0.693147181,2.995732274,2.995732274,6.293419279,5.036952602,1.510592078,5.880532986,1.609437912,3.33220451,4.564348191,3.091042453,3.610917913,2.197224577,4.394449155,0.693147181,1.292308657,0,0,2.564949357,172,84,0.765230373,13,24
AMR0318,1.247787611,2,1,1,27,0.238938053,0,14.37572254,736,0.278438662,0.202452754,0,0,0.2,230,74,3.108108108,139,4,12,43,16,16,0,0.6,154.0833333,12.72727273,140,33.5,33.00666667,1.2,9.859063096,15.21794579,2.948387539,19,2,0,1.2,3.2,0,8,1,0,0,0,0.809946448,1.098612289,0.693147181,0.693147181,3.33220451,0,5.442417711,4.317488114,1.412962608,4.941642423,1.609437912,2.564949357,3.784189634,2.833213344,2.833213344,2.619384564,4.94875989,3.526556584,1.373307277,2.995732274,1.098612289,0,2461.493333,44,0.810369169,5,21
ANM0123,1.526315789,0,1,1,2,0.105263158,0,10.8,77,0.535632184,0.681481481,15,0.496296296,0.4,47,12,3.916666667,31,0,2,11,1,2,0,0.2,106.3333333,5.666666667,68,31.91666667,6.444444444,1,10.79948333,18.42022569,3.164256203,0,0,7,0.9,2.5,0,10,1,0,0,0,0.926762032,0,0.693147181,0.693147181,1.098612289,2.772588722,3.871201011,2.564949357,1.592630794,3.465735903,0,1.098612289,2.48490665,0.693147181,1.098612289,1.897119985,4.234106505,2.007468042,1.426537677,0,0,2.079441542,92.33333333,4,3.942252874,3,14
AOK0844,1.48540146,7,5,1,21,0.076642336,0.2,1,128,0.357605178,0.57027027,42,0,0.4,1321,259,5.1003861,841,6,57,262,75,80,0.031037093,0.6,9.666666667,1,1,7.888888889,1.307692308,0.2,10.7944396,18.74461048,3.037838014,23,209,38,1.8,3.2,0,19,1,5,0,0,0.9104342,2.079441542,1.791759469,0.693147181,3.091042453,3.761200116,7.18690102,5.560681631,1.808352064,6.735780014,1.945910149,4.060443011,5.572154032,4.33073334,4.394449155,0.693147181,0.693147181,0.836248024,1.395709404,3.17805383,5.347107531,3.663561646,403.6923077,178.3103709,0.203931602,18,308
